userID,subscribers,videoviews,channeltype,grade,MonthlyEarnings,YearlyEarnings
Kinder Spielzeug Kanal,4129100,1628863242,Entertainment,A,€36K - €576K,€432K - €6.9M
El Chavo del 8,2857652,1628688900,Comedy,B+,€6.2K - €99.2K,€74.4K - €1.2M
ON Ent,4489127,1624168997,Entertainment,A-,€13K - €208.2K,€156.2K - €2.5M
DrDreVEVO,3132205,1620909568,Music,B+,€5.5K - €87.7K,€65.8K - €1.1M
Fran MG,4151124,1617071394,Games,B+,€5K - €80.3K,€60.2K - €963.4K
RioromaVEVO,2436144,1614192123,Music,B+,€7.9K - €126.1K,€94.5K - €1.5M
Sungha Jung,5592708,1613821607,Music,B,€2.1K - €33.6K,€25.2K - €403.1K
Johny FamilyShow,5181709,1611260041,,A,€78.4K - €1.3M,€941.2K - €15.1M
AlNaharDrama,2958872,1608505689,Entertainment,A-,€11.4K - €182.5K,€136.8K - €2.2M
Sparkle Spice,2776789,1606462910,Entertainment,B+,€7.6K - €121.3K,€90.9K - €1.5M
Galo Frito,10313712,1602354448,Comedy,B+,€3.4K - €54.9K,€41.2K - €659.1K
Sony AATH,2958595,1600700463,Entertainment,A,€26.2K - €419.5K,€314.6K - €5M
The Alex Jones Channel,2431237,1600143609,News,B+,€3.9K - €62.1K,€46.6K - €745.2K
Rammstein Official,2764562,1598101909,Entertainment,A-,€11.3K - €180.5K,€135.4K - €2.2M
Zee Music Classic,4247310,1596874996,Music,A,€22.3K - €356.2K,€267.1K - €4.3M
WhatsUpMoms,2546453,1596138105,Entertainment,A-,€11.8K - €188.2K,€141.2K - €2.3M
Calon Sarjana,8252201,1595951455,Entertainment,A,€19.1K - €305.5K,€229.1K - €3.7M
FilmSelect Trailer,2979725,1594705391,Entertainment,A,€22.7K - €362.6K,€272K - €4.4M
MM7Games,3613862,1594684706,Games,B+,€3.9K - €62.1K,€46.6K - €745.4K
Illslick thelegandary,3157163,1592116609,Music,A-,€12.5K - €199.2K,€149.4K - €2.4M
Working with Lemons,3195263,1588258490,Entertainment,B+,€7.3K - €116.6K,€87.5K - €1.4M
Ninja Kidz TV,4289588,1586042757,,A,€26.1K - €417.2K,€312.9K - €5M
2NE1,4355135,1583008480,Music,B+,€2.7K - €42.6K,€31.9K - €511K
Muse,2631763,1582608149,Music,B+,€4.6K - €73.4K,€55K - €880.5K
Len Ken,2951153,1581974737,Entertainment,B+,€3K - €48.2K,€36.1K - €577.9K
Funketon,5929273,1580619413,Music,B+,€4.3K - €69.3K,€52K - €831.5K
dope2111,5702293,1576315574,Howto,B,€1.4K - €22.1K,€16.6K - €265.1K
Viki Show,4569588,1576183247,Entertainment,A,€9.3K - €149.5K,€112.1K - €1.8M
luisitorey,9036126,1575312771,Entertainment,B+,€3.5K - €56.5K,€42.3K - €677.5K
Vsauce,14276229,1574511081,Entertainment,B,€3K - €48K,€36K - €576.5K
CaliyElDandeeVEVO,2222839,1573520877,Music,B+,€8.5K - €136.6K,€102.4K - €1.6M
Jass Records,4923353,1572675817,Music,A,€30.7K - €491.4K,€368.5K - €5.9M
Fox News,2672871,1570881216,News,A,€19.3K - €309.3K,€232K - €3.7M
Niloya,2275117,1569734811,Film,B+,€9.4K - €150.9K,€113.2K - €1.8M
Nickelback,2468146,1567896625,Music,B+,€3.2K - €51K,€38.2K - €611.6K
Life Hacks & Experiments,4744184,1567048260,Entertainment,A-,€10.6K - €169.6K,€127.2K - €2M
fouseyTUBE,10481891,1566541469,Entertainment,B,€1.3K - €21.2K,€15.9K - €253.9K
Wave Music - Bhakti,4388093,1565909773,Music,A-,€13.8K - €221.3K,€166K - €2.7M
Sonotek Official,5120905,1564928790,,A-,€12.7K - €204K,€153K - €2.4M
grav3yardgirl,8686590,1564620381,Howto,B,€735 - €11.8K,€8.8K - €141.1K
AndrewSchrock,2441300,1564388820,People,A-,€13.8K - €220.2K,€165.2K - €2.6M
IMPACT Wrestling,2219802,1564196418,Sports,B+,€7.6K - €122.2K,€91.7K - €1.5M
????Channel,2183568,1563178604,Entertainment,B+,€6.2K - €99.5K,€74.6K - €1.2M
Cantando Aprendo a Hablar,2137146,1562784909,Education,B+,€5K - €80.1K,€60K - €960.8K
speedyw03,6447928,1562392824,Games,B,€396 - €6.3K,€4.8K - €76.1K
Dekja,3447845,1561150334,Autos,A-,€11.8K - €189.3K,€142K - €2.3M
HalseyVEVO,3117203,1560639275,Music,A-,€15.6K - €249.1K,€186.8K - €3M
Söz Dizi,2808643,1560350014,Film,A,€19.4K - €309.7K,€232.2K - €3.7M
ConCrafter | LUCA,3669694,1559752531,Entertainment,B+,€9.2K - €147K,€110.3K - €1.8M
2MTV,3393481,1559379791,Entertainment,A-,€12K - €192.4K,€144.3K - €2.3M
Ali Baba,4925977,1555173211,Film,A,€35.4K - €566.2K,€424.7K - €6.8M
Musas,12365821,1555159642,Howto,B+,€6.1K - €97.5K,€73.1K - €1.2M
DANIEL EL TRAVIESO VIDEOS,5084817,1554327838,Comedy,A,€25.4K - €407K,€305.2K - €4.9M
Vikkstar123,5571352,1551158176,Games,B+,€3.9K - €62.6K,€47K - €751.4K
MUEVA Records,4721592,1551153151,Music,B+,€8.3K - €132.7K,€99.6K - €1.6M
HollywoodLife,2571643,1543541524,Entertainment,B+,€7.4K - €118.2K,€88.6K - €1.4M
Discovery,3317429,1543457479,Entertainment,B+,€4K - €63.8K,€47.8K - €765.1K
ZENSE Entertainment,3199749,1543448023,Entertainment,A-,€15.1K - €241.9K,€181.4K - €2.9M
Wild 'N Out,4244873,1538488195,Entertainment,A,€19.1K - €306.2K,€229.6K - €3.7M
Cauet,3148753,1537518938,Entertainment,B,€2.5K - €40K,€30K - €480.5K
KinoCheck International,2062236,1536957959,Entertainment,A-,€12.1K - €194K,€145.5K - €2.3M
Tommy'sToys,6153327,1536598240,Entertainment,B+,€4.1K - €66.2K,€49.7K - €794.5K
Kids smile TV,4132102,1534513154,,A,€23.4K - €373.8K,€280.3K - €4.5M
HAR PAL GEO,3807882,1533106217,Entertainment,A,€20.9K - €334.8K,€251.1K - €4M
JeromeASF,5032592,1530722590,Games,B+,€2.9K - €46.2K,€34.7K - €554.4K
????? (??????),2275158,1529762421,Film,B,€2.4K - €38.6K,€29K - €463.4K
Sidharth TV,2761148,1526676970,Entertainment,A,€18.6K - €298.4K,€223.8K - €3.6M
blndsundoll4mj,4815392,1523358421,People,B+,€4.6K - €74.2K,€55.6K - €890.1K
BANDA MS,2833166,1522260734,Music,B,€2.8K - €45.2K,€33.9K - €542.1K
Ceylin - H Official,2566027,1520172493,Entertainment,A,€21K - €336.2K,€252.2K - €4M
WhenGamersFail ? Lyon,2130709,1520123649,Games,A,€19.3K - €308.6K,€231.4K - €3.7M
Cosculluela El Principe,4381919,1515785774,Music,B+,€5K - €80.1K,€60.1K - €961.6K
Trinity Optima Production,2211025,1515544502,Music,B+,€9.1K - €144.9K,€108.6K - €1.7M
The Daily Show with Trevor Noah,4553733,1514082647,Comedy,D-,€3.1K - €50.3K,€37.7K - €603.8K
Little Kelly Minecraft,2826767,1513998155,Entertainment,B+,€3.1K - €49K,€36.8K - €588.5K
FutParódias,6250006,1513566953,Sports,A-,€12.8K - €204.6K,€153.4K - €2.5M
ABS-CBN Star Music,2994781,1511858568,Music,B+,€6.2K - €99.6K,€74.7K - €1.2M
infobells,4578246,1508082871,Education,A,€23.1K - €369.1K,€276.8K - €4.4M
DjMaRiiO,5031778,1507928553,Games,B+,€7.3K - €116.8K,€87.6K - €1.4M
???,3239557,1506811241,People,B+,€10.8K - €172.5K,€129.4K - €2.1M
Amazing Kids Toys Review,5698662,1506748973,Entertainment,B+,€5K - €79.8K,€59.8K - €957.4K
JamesAVEVO,2463296,1506091589,Music,A-,€10.9K - €174.9K,€131.2K - €2.1M
dmc ?????,3835715,1502315695,Entertainment,A,€37.7K - €603.6K,€452.7K - €7.2M
Thinknoodles,4288098,1498809821,Games,B+,€7.7K - €122.9K,€92.2K - €1.5M
KittiesMama,2353033,1495759579,Howto,B,€561 - €9K,€6.7K - €107.7K
jeffreestar,13792620,1495145932,Howto,A,€20K - €320.4K,€240.3K - €3.8M
OWN,2964569,1491832197,Entertainment,B+,€8.4K - €134.4K,€100.8K - €1.6M
kellyclarksonVEVO,2084489,1491514354,Music,B+,€2.9K - €46.9K,€35.2K - €562.5K
Tibo InShape,5876089,1490128145,Sports,B+,€10.9K - €173.7K,€130.3K - €2.1M
Naiara Azevedo,4869908,1488725821,Music,A-,€8.3K - €133.5K,€100.1K - €1.6M
TechRax,6333089,1487914949,Tech,B,€1.1K - €17.4K,€13.1K - €209.3K
Alhayah Series TV,2914784,1487547572,Entertainment,A-,€12.1K - €193.7K,€145.3K - €2.3M
Tekashi 6ix9ine,7415806,1485815538,,A-,€17.8K - €285.1K,€213.8K - €3.4M
luzugames,8754719,1481939166,Games,B,€2.6K - €41K,€30.7K - €491.4K
Mimonona Stories,5266807,1481766931,Entertainment,A,€20.1K - €321K,€240.8K - €3.9M
Lucas Lucco,5585502,1481198099,Music,B+,€4.1K - €65.6K,€49.2K - €787.5K
Gordon Ramsay,8899908,1481059957,Entertainment,A,€16.1K - €257.3K,€193K - €3.1M
TXT,3255144,1479023296,People,B+,€9.4K - €150.8K,€113.1K - €1.8M
Vete a la Versh,9611116,1475640377,Games,B+,€5.7K - €90.7K,€68K - €1.1M
Bazylland,3079303,1474249075,Film,A-,€15.5K - €248K,€186K - €3M
TheScriptVEVO,2488166,1470619064,Music,B+,€3.8K - €60.7K,€45.5K - €728.7K
Zee Kannada,2456234,1470536970,Entertainment,A,€19.9K - €317.8K,€238.3K - €3.8M
MigosVEVO,1980927,1469093102,Music,A,€18.9K - €302.6K,€227K - €3.6M
RomanAtwood,10628230,1468051970,Entertainment,B,€484 - €7.8K,€5.8K - €93K
Desimpedidos,7037100,1467241292,Sports,B+,€5.5K - €88.4K,€66.3K - €1.1M
Jack Ü,2984266,1464868327,Music,B,€1.9K - €29.9K,€22.4K - €358.8K
DaveHax,4507913,1462326528,Howto,B+,€8.9K - €142K,€106.5K - €1.7M
442oons,2363999,1461162154,Sports,A-,€9.3K - €148.9K,€111.7K - €1.8M
MrRevillz,2840426,1459382489,Music,A-,€9.6K - €154.2K,€115.7K - €1.9M
Wylsacom,6973088,1457065817,Tech,B+,€8.2K - €130.4K,€97.8K - €1.6M
Her?ey Dahil,3405981,1456543706,Entertainment,B+,€8.6K - €137.1K,€102.8K - €1.6M
GNP Music,2844493,1456355065,Music,A-,€10.9K - €174.9K,€131.2K - €2.1M
ElChurches,5755982,1456113111,Games,B+,€8.1K - €130.1K,€97.5K - €1.6M
Trimurti,3834397,1455807353,Music,A,€17.1K - €273.8K,€205.4K - €3.3M
Music Al Haneen | ?????…,4113961,1455492168,Music,B+,€7.7K - €123K,€92.3K - €1.5M
YimYam TV,1967278,1454836269,Entertainment,A,€32.2K - €515.5K,€386.6K - €6.2M
Kyoot,2924927,1454428803,Comedy,A-,€8.6K - €137.6K,€103.2K - €1.7M
I AM WILDCAT,6802777,1454090893,Games,B+,€7.6K - €121.7K,€91.3K - €1.5M
ANTV - Truy?n hình Công an…,2080596,1453670248,News,A-,€10.3K - €164K,€123K - €2M
TocToc Toys,5965862,1452693156,Education,A+,€101.5K - €1.6M,€1.2M - €19.5M
Capital FM,3104583,1450213547,Music,B+,€8.5K - €135.3K,€101.4K - €1.6M
Kaykai Salaider,9094574,1449700079,Entertainment,A,€17.2K - €275.1K,€206.3K - €3.3M
Lime Tube[????],2008022,1449428038,Entertainment,A-,€3.7K - €59K,€44.2K - €707.4K
LordeVEVO,3648171,1447756476,Music,B,€2.1K - €34.4K,€25.8K - €412.8K
Zing MP3,2294805,1445423320,Music,B+,€3.6K - €57.6K,€43.2K - €690.9K
Calle13VEVO,2306378,1445259737,Music,B+,€5.1K - €81.7K,€61.3K - €980.5K
tlc uk,2565090,1443678276,Entertainment,A,€22.6K - €361.5K,€271.1K - €4.3M
???? ??????? ?? 5…,6177407,1441681409,,A,€24.1K - €385.7K,€289.3K - €4.6M
OfficialGucciMane,3110475,1440349774,Music,B+,€9.9K - €159.2K,€119.4K - €1.9M
Basim Karbalaei / ????…,4660342,1440098779,People,B+,€7.5K - €120.4K,€90.3K - €1.4M
XpressTV,10015988,1439331869,Entertainment,B+,€8.7K - €139.5K,€104.7K - €1.7M
RedHatter,2263938,1438375947,Games,B+,€6.7K - €107.2K,€80.4K - €1.3M
Lovely Kids Thailand,3074115,1435688169,People,A-,€11.3K - €181.4K,€136.1K - €2.2M
TRT Çocuk,2186257,1435319573,Entertainment,A,€19.2K - €307.5K,€230.6K - €3.7M
iGAMING TV,3639954,1434766341,Games,A,€30K - €479.2K,€359.4K - €5.8M
Fun Factory,2116846,1434061797,Entertainment,B,€796 - €12.7K,€9.5K - €152.8K
Colleen Ballinger,8418400,1432508440,Entertainment,B+,€4.4K - €69.7K,€52.3K - €836K
Chad Wild Clay,6844948,1431123716,Entertainment,A,€24.5K - €392.1K,€294.1K - €4.7M
StromaeVEVO,2771196,1428528116,Music,B+,€4.2K - €66.5K,€49.9K - €798K
AdMe.ru - ???? ?…,7859007,1428029704,Entertainment,A,€14.6K - €232.8K,€174.6K - €2.8M
Mac Miller,2292017,1426370292,Music,B+,€6.9K - €110.8K,€83.1K - €1.3M
Shoof Drama | ??? ?????,2840815,1424755088,People,A,€23.2K - €371.9K,€279K - €4.5M
ToveLoVEVO,2327213,1422327019,Music,B,€2.7K - €43.8K,€32.8K - €525.3K
21 Savage,5446863,1420272984,Music,B+,€9.6K - €152.9K,€114.7K - €1.8M
SonicToy????,2924088,1420023875,Entertainment,A-,€13K - €208.2K,€156.1K - €2.5M
Talking Angela,7089988,1418692673,Entertainment,A,€20.1K - €322.2K,€241.6K - €3.9M
LaSalle,2976753,1417581808,Games,B+,€4.8K - €77K,€57.7K - €923.8K
keshaVEVO,2791441,1415885241,Music,B,€2.2K - €34.6K,€25.9K - €414.8K
atiempopreescolar,2000993,1415524142,Music,B+,€7.1K - €114.2K,€85.7K - €1.4M
Mobile MOBA Vi?t,3594684,1413739918,Games,B+,€9.1K - €145.6K,€109.2K - €1.7M
HelloMaphie,7532909,1409867989,Howto,A,€40.7K - €650.5K,€487.9K - €7.8M
Videogyan Kids Shows - Cartoon…,3013766,1408916858,Film,A-,€13.6K - €217.6K,€163.2K - €2.6M
Toymong tv ???TV,3181576,1408254936,Entertainment,A-,€16.6K - €266.2K,€199.6K - €3.2M
RT en Español,2309816,1407185047,News,B+,€10.7K - €170.7K,€128K - €2M
Home Bollywud,3877266,1403638559,Entertainment,A,€16.5K - €264.1K,€198.1K - €3.2M
YouAlwaysWin,2731492,1401774734,Games,B,€1.5K - €24.5K,€18.4K - €293.7K
iPantellas,4235146,1398982714,Entertainment,B+,€11.7K - €187.1K,€140.3K - €2.2M
Taz Network,2578242,1397245929,Music,A-,€12.5K - €200.1K,€150.1K - €2.4M
Invento na Hora,9349291,1396574570,Entertainment,B+,€5.8K - €92.6K,€69.4K - €1.1M
IDEAS EN 5 MINUTOS,8546263,1396401214,,A,€18.5K - €296.2K,€222.1K - €3.6M
jvnq,4939165,1396348977,Games,B+,€8.2K - €130.6K,€97.9K - €1.6M
BigSeanVEVO,2797387,1392918394,Music,B,€1.9K - €31.1K,€23.3K - €373.6K
Jesus Adrian Romero,3316550,1392141913,Music,B+,€5K - €79.2K,€59.4K - €950.6K
Hillsong Worship,3788387,1391379594,Music,A-,€13.5K - €215.5K,€161.7K - €2.6M
KOCOWA TV,2930491,1390794659,Entertainment,A,€32.2K - €515.7K,€386.8K - €6.2M
BRKsEDU,7648364,1390733972,Games,B+,€3.6K - €58.3K,€43.7K - €700K
HeHaa TV,3520690,1388718427,Entertainment,A,€17.3K - €277.1K,€207.9K - €3.3M
gameranx,4841503,1385363491,Games,B+,€7K - €111.3K,€83.5K - €1.3M
TmarTn2,3715867,1385301215,Games,B+,€4.5K - €72.3K,€54.3K - €868.1K
Tobuscus,6255345,1382159165,Entertainment,B,€560 - €9K,€6.7K - €107.5K
?? TV,3099274,1381923404,Entertainment,B+,€9.7K - €154.7K,€116.1K - €1.9M
Brytiago Cartel Records,3364356,1378783571,Music,A,€21.2K - €338.8K,€254.1K - €4.1M
Kiddiestv Hindi,4055377,1378160809,,A,€29.1K - €465.4K,€349K - €5.6M
FUNTASTIC TV - Kids Songs and…,2117891,1376607058,Education,B+,€5.8K - €93.5K,€70.1K - €1.1M
Hong Giang DIY Slime,5013464,1374823950,Games,A-,€16K - €256.5K,€192.4K - €3.1M
MikePosnerVEVO,1952835,1372687816,Music,B+,€3.6K - €57.9K,€43.5K - €695.3K
Wengie,13408655,1371356460,Howto,B+,€5.9K - €93.8K,€70.4K - €1.1M
Disney Studios LA,2170490,1370911086,Film,B+,€3.8K - €60.8K,€45.6K - €729.2K
Bollywood Babes,2013708,1368810350,Entertainment,A-,€10.2K - €162.8K,€122.1K - €2M
Official Arctic Monkeys,3877707,1367810513,Music,B+,€4.7K - €74.5K,€55.9K - €894.5K
Cracks,4121597,1366606132,Sports,A-,€10.8K - €173K,€129.8K - €2.1M
TED,13124227,1362658314,Tech,B+,€6.5K - €103.5K,€77.6K - €1.2M
Jkk Entertainment,6265578,1360697450,Comedy,A,€48K - €768.6K,€576.5K - €9.2M
Life with Brothers,4276816,1359180632,Entertainment,A-,€16.4K - €263.1K,€197.3K - €3.2M
T-Series Telugu,2412290,1355892656,Music,A-,€12.6K - €201K,€150.7K - €2.4M
Sumeet Music,2593577,1355279887,Entertainment,A-,€14.9K - €238.2K,€178.6K - €2.9M
The X Factor USA,4442573,1353881692,Entertainment,B,€1.6K - €25K,€18.7K - €299.7K
